housing_age,income,bedrooms,households,rooms,house_value
23,6.777,0.141111789859499,2.44224422442244,8.1039603960396,500000
49,6.0199,0.160983789826719,2.72668810289389,5.7524115755627,500000
35,5.1155,0.249061326658323,1.90267639902676,3.88807785888078,500000
32,4.7109,0.231382978723404,1.9136690647482,4.5083932853717,500000
21,4.5625,0.25558312655086896,3.09266409266409,4.66795366795367,500000
38,4.3403,0.26835043409629,1.768,5.0680000000000005,500000
25,3.9696,0.11647727272727301,2.91176470588235,10.3529411764706,500000
34,3.7306,0.272993311036789,1.50726978998385,3.8642972536349,500000
29,3.625,0.25811155668975605,1.62672811059908,4.21351766513057,500000
29,3.6121,0.27735958309206704,1.71925754060325,4.006960556844549,500000
31,3.5744,0.251750899110354,2.0953506698187603,4.16312056737589,500000
25,3.5556,0.258405003909304,1.8600628930817602,4.0220125786163505,500000
44,2.6103,0.29552980132450296,2.03030303030303,4.06734006734007,500000
26,2.3536,0.353786622443339,3.9734375,2.8265625,500000
20,2.2444,0.37540837540837496,2.35809018567639,2.9770114942528703,500000
26,1.9891,0.27771040504487,1.9027932960893899,4.606703910614531,500000
19,1.2656,0.304878048780488,1.4335260115606898,3.79190751445087,500000
28,6.7861,0.14673913043478304,2.25182481751825,7.386861313868611,499100
18,8.1489,0.15170278637770904,2.22615803814714,6.6008174386921,499000
29,8.248,0.138303341902314,3.0036363636363594,7.0727272727272705,498800
40,7.2692,0.15698086463501099,2.19082125603865,6.8164251207729505,498700
33,5.7379999999999995,0.183804627249357,1.9846153846153798,5.984615384615379,497600
40,3.5637,0.24641460234680604,1.7122302158273401,4.41438848920863,497400
21,7.9135,0.14018018018018,2.44571428571429,7.928571428571429,496400
33,6.597,0.13595706618962403,2.63179916317992,7.01673640167364,496400
17,5.9285,0.160831509846827,2.3420427553444196,6.513064133016631,496000
44,6.7058,0.15651886168100598,2.5890985324947597,6.3354297693920305,495900
21,4.3125,0.19402460456942,2.396,11.38,495800
36,8.0499,0.17173628292824897,1.96106194690265,6.080530973451331,495600
38,3.6181,0.259600269481249,1.66515013648772,4.0518653321201095,495600
33,5.9683,0.1726307510814,2.63942307692308,6.11298076923077,495500
31,5.4591,0.16916403785489,2.33490566037736,5.981132075471701,495500
33,4.537,0.247286455875413,1.8752688172043002,4.55698924731183,495500
25,7.2655,0.130825565912117,3.04521276595745,7.989361702127661,494000
30,6.8198,0.19687875150060002,2.5034965034964998,5.82517482517483,493800
45,6.3521,0.163414634146341,2.57990867579909,5.61643835616438,493400
5,6.9136,0.15583596214510997,2.8176795580110494,8.75690607734807,493300
39,4.8304,0.18913768461172,3.94736842105263,5.523684210526319,493200
30,6.8443,0.19006744328632702,2.23905723905724,5.4915824915824905,492500
30,6.431,0.12027674294837701,2.78195488721805,7.06390977443609,492500
37,3.6875,0.254251012145749,1.6195286195286203,4.15824915824916,492300
34,7.3151,0.162677636499626,2.5220417633410697,6.20417633410673,492200
23,5.9254,0.168037075796083,2.94269340974212,6.38872970391595,491200
33,7.9625,0.157380815623205,2.20224719101124,6.52059925093633,490800
39,7.8496,0.153846153846154,2.4577777777777796,6.52888888888889,490800
35,7.2096,0.164035322451164,2.2384219554030897,6.40994854202401,490300
43,5.3403,0.162743779421654,2.73279352226721,6.020242914979759,489800
48,3.0417,0.2401300510915,3.6078431372549,4.69063180827887,489600
48,5.6302,0.167236662106703,2.2950495049504904,5.790099009900991,489000
34,2.3187,0.210926365795724,1.9211822660098503,5.18472906403941,488900
41,6.015,0.15934356802541,2.88489208633094,6.794964028776981,488500
37,6.0762,0.14559466777754598,2.69513991163476,7.07069219440353,487800
35,3.7778,0.163690476190476,2.34131736526946,6.035928143712571,487500
30,3.4048,0.214548126377663,1.6354166666666698,7.08854166666667,487100
43,4.1797,0.167060212514758,2.5243445692883903,6.3445692883895095,486800
40,5.2035,0.171884984025559,3.08208955223881,5.83955223880597,485700
12,8.3209,0.139885374655063,3.36392914653784,7.58615136876006,485400
30,7.0813,0.178130511463845,3.21774193548387,6.09677419354839,485300
14,5.8393,0.18189038919777603,2.2487922705314,6.08212560386473,485300
17,8.0595,0.129203539823009,3.04927536231884,8.18840579710145,485000
24,4.9044,0.23870967741935503,2.01968503937008,4.88188976377953,485000
25,3.3989,0.28259459459459496,1.46011754827876,3.88329135180521,485000
36,7.1615,0.15560314061384697,2.96444444444444,6.22666666666667,484700
34,5.6315,0.234352941176471,2.24786324786325,4.54059829059829,484600
40,6.0876,0.180152671755725,1.8655462184873999,5.50420168067227,483800
41,7.419,0.144756277695716,2.8443708609271496,6.72516556291391,483700
33,6.4956,0.17326521924223098,2.5576407506702403,6.29758713136729,483600
31,8.6454,0.125353973947517,3.0228310502283104,8.06240487062405,483500
